Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
East Asia & Pacific (IDA & IBRD countries),TEA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64076519,12.75489998,16.20454979,,14.17029953,,,14.94431019,14.03864002,15.23900032,15.46687984,15.00961018,18.09041977,17.60392952,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,5.11E+12,5.28E+12,5.54E+12,5.88E+12,6.06E+12,6.01E+12,6.31E+12,6.50E+12,6.70E+12,6.97E+12,7.12E+12,7.13E+12,7.17E+12,7.27E+12,7.44E+12,7.63E+12,7.82E+12,8.03E+12,8.39E+12,8.73E+12,9.03E+12,9.25E+12,9.37E+12,9.32E+12,9.51E+12,9.75E+12,9.93E+12,1.02E+13,1.05E+13,1.08E+13,1.12E+13,1.14E+13,1.15E+13,1.16E+13,1.20E+13,1.22E+13,1.26E+13,1.29E+13,1.29E+13,1.24E+13,1.27E+13,1.29E+13,1.28E+13,1.28E+13,1.29E+13,1.31E+13,1.34E+13,
Euro area,EMU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.11245966,9.616499901,,10.58874989,10.86484003,,10.48540974,10.43070507,10.63162994,10.70874977,,10.81140995,11.04555988,10.93279028,11.87948036,12.01327991,11.6037302,11.7942853,11.21681976,11.83043957,11.87525988,11.90371037,11.62698507,11.19824505,11.74380493,11.62662029,11.48516512,11.55556488,,,
Euro area,EMU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,8.84E+12,9.25E+12,9.82E+12,1.00E+13,9.94E+12,1.04E+13,1.07E+13,1.10E+13,1.15E+13,1.16E+13,1.16E+13,1.17E+13,1.19E+13,1.23E+13,1.26E+13,1.29E+13,1.33E+13,1.39E+13,1.44E+13,1.48E+13,1.49E+13,1.48E+13,1.47E+13,1.48E+13,1.51E+13,1.54E+13,1.59E+13,1.62E+13,1.67E+13,1.74E+13,1.78E+13,1.81E+13,1.84E+13,1.91E+13,1.97E+13,2.04E+13,2.11E+13,2.12E+13,2.03E+13,2.09E+13,2.14E+13,2.14E+13,2.16E+13,2.20E+13,2.24E+13,2.28E+13,
Europe & Central Asia,ECS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84667015,,11.43904495,11.76006031,11.75501013,12.1888051,12.01327991,11.67253017,12.54751015,12.25037003,12.71121502,11.9747901,12.53193998,11.84939003,11.67597961,11.84194517,12.01334953,12.08611012,11.97239017,,,
Europe & Central Asia,ECS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,GNI (constant 2010 US$),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48E+12,2.36E+12,2.10E+12,1.99E+12,1.79E+12,1.76E+12,1.75E+12,1.80E+12,1.75E+12,1.78E+12,1.93E+12,1.99E+12,2.10E+12,2.23E+12,2.42E+12,2.58E+12,2.77E+12,2.99E+12,3.11E+12,2.92E+12,3.07E+12,3.26E+12,3.37E+12,3.50E+12,3.59E+12,3.62E+12,3.68E+12,
Europe & Central Asia (excluding high income),ECA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36196041,11.15959501,11.35176992,11.97882986,13.01992989,13.25642967,11.56090498,12.70637989,12.65674973,,11.84669495,11.75786495,,,,,
